Annee;Inflation;Cereales;Viande;Poisson;Laitage;Huiles;Fruits;Legumes;Sucrerie;Epicerie;Cafecacao;Boissons;Boissons_alcoolisees;Total
1959;5.815256;14285.089;14452.664;2957.257;4030.017;2175.513;4214.492;6772.475;2875.05;746.818;1564.787;678.882;11170.766;65923.81
1960;4.139938;13843.256;15181.403;3096.878;4167.272;2322.512;4513.853;6980.026;3088.463;774.535;1584.593;679.384;11244.664;67476.839
1961;2.400457;13441.537;16023.775;3202.271;4309.767;2389.173;4705.543;7189.657;3291.478;818.406;1597.091;813.716;11577.27;69359.684
1962;5.331275;13951.437;16679.587;3409.738;4503.958;2477.301;4950.608;7432.259;3545.951;889.789;1674.085;896.65;12138.89;72550.253
1963;4.999166;13979.508;17407.41;3594.986;4778.294;2638.772;5157.197;7881.825;3797.963;956.287;1734.179;1006.091;12558.379;75490.891
1964;3.211191;13906.684;17645.924;3754.549;5149.386;2783.566;5678.548;8887.696;3988.34;993.603;1776.685;1178.107;13294.079;79037.167
1965;2.703119;14481.612;18543.159;3713.011;5353.724;3007.805;5949.47;8973.694;4122.441;1031.763;1810.202;1135.843;13529.4;81652.124
1966;2.601979;14777.056;19421.141;3955.469;5555.794;3075.193;6231.812;8888.836;4411.153;1066.453;1832.469;1260.769;13892.271;84368.416
1967;2.791785;15069.57;20283.605;4031.837;5874.306;3183.721;6464.178;9402.833;4554.472;1113.828;1864.576;1456.978;14250.509;87550.413
1968;4.543192;15199.017;20862.826;4092.375;6229.608;3242.213;6559.923;9662.725;4818.705;1191.045;2001.426;1497.041;14417.55;89774.454
1969;6.045974;15713.603;21480.128;4138.312;6813.699;3321.632;6795.98;9927.484;5061.553;1303.232;2055.25;1665.277;14627.45;92903.6
1970;5.299646;15886.854;22095.912;4287.305;7272.257;3300.908;6884.068;10390.691;5152.08;1381.994;2075.698;1835.91;14836.943;95400.62
1971;5.397514;16139.463;22861.492;4299.718;7501.893;3285.16;6824.73;10542.737;5446.785;1494.674;2182.432;2043.891;15694.924;98317.899
1972;6.063004;16501.074;23527.835;4512.88;7737.179;3390.866;6948.517;10288.639;5814.377;1606.45;2260.743;2143.811;16422.144;101154.515
1973;7.380597;16813.604;24176.692;4425.258;8030.767;3478.439;7178.802;10486.142;6055.41;1680.385;2345.216;2317.217;16781.761;103769.693
1974;13.64932;17004.446;24972.942;4409.303;8213.937;3506.238;6838.072;11008.682;6088.485;1719.9;2396.821;2271.192;17036.874;105466.892
1975;11.68593;17216.089;25646.394;4544.975;8571.161;3461.52;6481.567;10984.623;5890.346;1754.767;2521.66;2325.595;17492.854;106891.551
1976;9.625493;17345.768;26557.161;4764.582;8898.8;3526.443;6903.182;10005.953;6154.269;1808.691;2501.885;2470.745;17688.195;108625.674
1977;9.494556;17473.274;27330.125;4949.772;9145.788;3565.585;6524.718;10353.299;6044.175;1769.839;2336.287;2286.078;17666.684;109445.624
1978;9.250559;17825.527;28434.095;5140.955;9497.501;3669.356;7119.337;10839.266;6374.223;1850.202;2533.437;2357.076;17737.098;113378.073
1979;10.64674;17878.918;28968.829;5160.59;9867.962;3713.311;7051.71;11168.039;6787.207;1942.175;2724.727;2438.634;17910.447;115612.549
1980;13.56258;17963.239;30180.157;5246.523;10408.721;3730.126;6939.316;10831.663;6940.798;2018.407;2800.232;2444.111;18133.667;117636.96
1981;13.3144;18015.773;30496.023;5479.514;10883.181;3660.635;6944.482;10978.996;7039.963;2082.94;2848.407;2533.823;17953.834;118917.571
1982;11.97848;17905.22;30867.097;5561.478;11349.593;3693.452;7430.899;11307.498;7147.683;2210.548;2918.521;2750.576;18077.521;121220.086
1983;9.459548;17890.586;31403.053;5761.841;11662.241;3630.234;7471.591;11398.866;7018.177;2275.31;2891.658;2852.393;17952.45;122208.4
1984;7.673803;18040.16;32177.618;5830.508;12289.895;3727.507;7908.372;11532.723;7198.983;2397.707;2843.676;2913.615;17447.734;124308.498
1985;5.831099;18190.323;32601.732;5954.788;12610.671;3712.704;7951.904;11750.75;7064.344;2520.064;2856.179;2999.24;17489.861;125702.56
1986;2.538527;18455.065;33009.538;6152.176;12773.5;3755.838;8218.5;12221.962;7195.041;2631.464;2874.866;3144.936;17794.056;128226.942
1987;3.288898;18627.343;34224.774;6621.219;13272.131;3937.279;8202.038;12467.376;7326.352;2830.919;2995.951;3215.88;17792.789;131514.051
1988;2.700817;19009.674;34754.034;6980.002;13745.746;4016.231;8255.976;13051.091;7490.985;2996.763;3044.787;3469.088;18119.487;134933.864
1989;3.498302;19320.452;34918.479;7396.97;14037.418;3775.528;8417.363;13166.826;7888.55;3176.487;2995.603;3933.761;18343.695;137371.132
1990;3.194282;19236.865;35774.061;7835.053;14249.468;3653.84;8405.699;13326.188;8104.657;3288.615;2984.15;4424.128;18222.857;139505.581
1991;3.213407;19352.852;36326.935;7746.795;14550.304;3608.81;8301.647;13577.688;8120.118;3376.236;2972.445;4540.2;18252.853;140726.883
1992;2.36376;19490.032;35844.505;7992.462;14698.702;3569.303;8373.653;13928.653;8291.715;3360.821;2953.179;4501.657;18354.635;141359.317
1993;2.104463;19288.179;35983.517;8372.517;15024.647;3515.548;8284.964;13911.044;8294.251;3453.012;2991.507;4705.002;19187.391;143011.579
1994;1.655515;19477.095;35587.63;8444.698;15323.772;3474.974;8671.936;13991.433;8496.031;3558.376;2963.908;4893.542;18833.405;143716.8
1995;1.796481;19607.754;36179.207;8253.258;15640.184;3388.795;8736.928;14204.11;8677.857;3745.195;2905.151;5247.225;18846.552;145432.216
1996;1.982884;20031.045;35899.83;8428.555;15339.242;3421.024;8591.213;14336.898;8550.158;3844.179;2997.131;5339.269;18916.506;145695.05
1997;1.203943;20050.599;36068.011;8423.958;15497.25;3427.865;8731.871;14343.079;8638.647;3913.496;3019.604;5527.354;18728.567;146370.301
1998;0.6511269;20138.519;36514.953;8394.001;15935.924;3371.091;8623.465;14517.156;8814.803;4033.65;2987.315;5681.615;19144.006;148156.498
1999;0.5371416;20448.077;36914.144;8541.397;16181.149;3343.361;8891.21;14863.511;8915.683;4156.628;3005.792;5881.412;19522.588;150664.952
2000;1.67596;20695.214;37163.529;8592.628;16524.17;3386.534;9182.924;15191.426;9327.787;4341.102;3044.947;6285.348;19994.169;153729.778
2001;1.634781;20931.178;36494.033;8675.988;16703.151;3378.182;9240.536;15143.363;9539.266;4405.933;3080.604;6511.819;20303.423;154407.476
2002;1.923412;21042.31;36957.155;8711.557;16964.676;3299.931;9487.399;15115.464;9638.426;4456.007;3127.03;6671.75;20741.13;156212.835
2003;2.098472;20993.549;37518.706;8937.908;17186.2;3226.468;9255.975;15277.067;9791.33;4601.99;3122.9;7357.948;20388.151;157658.192
2004;2.14209;21156.595;37283.059;8916.232;17432.44;3238.947;9990.628;15867.123;9886.67;4697.93;3121.504;7426.34;20438.998;159456.466
2005;1.745869;21351;37465.513;8795.616;17843.286;3243.781;10135.884;16062.865;10100.944;4835.067;3168.008;7802.803;20378.065;161182.832
2006;1.675125;21657.184;37464.21;8834.962;18149.31;3201.761;10099.836;16027.402;10184.089;4951.773;3275.909;7954.416;20524.784;162325.636
2007;1.487998;21941.051;37624.442;8913.236;18706.582;3162.353;10016.796;16410.947;10361.861;5221.041;3413.089;8190.827;20693.582;164655.807
2008;2.812862;22345.728;36959.689;8770.129;18817.29;3136.755;9801.93;16574.487;10690.499;5284.857;3430.321;8117.874;20142.204;164071.763
2009;0.08762048;22519.502;36310.434;8959.535;19100.541;3085.254;10231.029;16351.707;10697.695;5239.251;3463.968;8399.748;20126.076;164484.74
2010;1.531123;22906.882;37410.317;9070.613;19619.845;3016.525;10339.531;16475.231;10847.448;5400.226;3627.088;8679.752;20548.434;167941.892
2011;2.111598;23754.565;37590.262;8823.324;19956.106;3054.222;9939.573;16520.877;11149.472;5478.099;3659.456;9061.742;20627.393;169615.091
2012;1.954195;24001.568;37596.915;8683.933;20234.737;3041.223;10254.645;16367.762;11295.906;5558.018;3706.144;9017.532;20493.903;170252.286
2013;0.8637155;24426.061;37552.104;8568.765;20528.322;3096.157;10257.83;17114.703;11538.655;5617.63;3712.099;9155.988;20534.097;172102.411
2014;0.5077588;24729.106;37302.748;8471.551;20509.65;3122.428;10751.281;17762.522;11780.17;5710.549;3795.04;9193.483;20322.585;173451.113
2015;0.03751438;25021.692;37087.396;8285.73;20704.551;3128.816;10936.4;17943.226;12106.234;5901.59;3934.937;9480.406;20559.288;175090.266
2016;0.1833349;25829.148;36710.5;8100.97;20791.235;3062.103;11196.822;18673.755;12193.357;6045.434;4043.76;9541.845;20719.537;176908.466
2017;1.032283;26693.584;36184.293;7698.213;20923.229;3089.249;10999.846;18698.279;12432.632;6183.545;4204.964;9785.306;20804.673;177697.813
2018;1.850815;27458.511;35513.505;7385.153;20961.223;3048.013;10644.027;18443.746;12542.16;6199.732;4270.984;9885.019;20818.388;177170.461
2019;1.108255;28262.96;34466.393;7187.686;21026.885;3022.206;10673.63;18652.394;12428.522;6135.485;4301.608;9671.583;20395.572;176224.924
2020;0.4764988;29014.952;36268.273;7536.618;22355.504;3289.642;11058.517;19487.923;12881.099;6406.312;4675.501;9741.396;20392.429;183108.166
